key,rule,severity,type,component,project,file_path,line,message,status,effort,debt,author,tags,creationDate,updateDate,closeDate
AZfh0jFY_yZdEi8IfXoE,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,205,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXoF,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,212,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXoG,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,214,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXoH,cpp:S6004,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,258,"Use the init-statement to declare ""sbomFile"" inside the if statement.",OPEN,2min,2min,tbakker@example.com,"clumsy,since-c++17",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoJ,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,261,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXoK,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,263,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXoI,cpp:S134,CRITICAL,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,270,Refactor this code to not nest more than 3 if|for|do|while|switch statements.,CLOSED,10min,10min,tbakker@example.com,brain-overload,2025-07-06T22:17:41+0000,2025-07-06T23:50:11+0000,2025-07-06T23:50:11+0000
AZfh0jFY_yZdEi8IfXoL,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,270,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXoM,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,272,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXoN,cpp:S6009,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,290,"Replace this const reference to ""std::string"" by a ""std::string_view"".",OPEN,2min,2min,tbakker@example.com,since-c++17,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoO,cpp:S5817,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,300,"This function should be declared ""const"".",CLOSED,5min,5min,tbakker@example.com,"confusing,pitfall",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXoP,cpp:S6045,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,300,"Use the transparent comparator ""std::less<>"" with this associative string container.",OPEN,2min,2min,tbakker@example.com,"performance,since-c++14",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoQ,cpp:S6045,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,301,"Use the transparent comparator ""std::less<>"" with this associative string container.",OPEN,2min,2min,tbakker@example.com,"performance,since-c++14",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXnr,cpp:S6177,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,308,"Reduce verbosity with ""using enum"" for ""heimdall::SBOMDifference::Type"".",OPEN,2min,2min,tbakker@example.com,since-c++20,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoR,cpp:S6009,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,329,"Replace this const reference to ""std::string"" by a ""std::string_view"".",OPEN,2min,2min,tbakker@example.com,since-c++17,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoS,cpp:S5817,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,338,"This function should be declared ""const"".",CLOSED,5min,5min,tbakker@example.com,"confusing,pitfall",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXoT,cpp:S1659,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,341,Define each identifier in a dedicated statement.,OPEN,5min,5min,tbakker@example.com,"based-on-misra,cert,convention",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoU,cpp:S6045,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,341,"Use the transparent comparator ""std::less<>"" with this associative string container.",OPEN,2min,2min,tbakker@example.com,"performance,since-c++14",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoV,cpp:S6171,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,353,"Use ""contains"" member function.",OPEN,2min,2min,tbakker@example.com,"clumsy,since-c++20",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoW,cpp:S6171,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,363,"Use ""contains"" member function.",OPEN,2min,2min,tbakker@example.com,"clumsy,since-c++20",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoX,cpp:S6009,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,395,"Replace this const reference to ""std::string"" by a ""std::string_view"".",OPEN,2min,2min,tbakker@example.com,since-c++17,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoY,cpp:S6045,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,397,"Use the transparent comparator ""std::less<>"" with this associative string container.",OPEN,2min,2min,tbakker@example.com,"performance,since-c++14",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoZ,cpp:S6005,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,411,Replace this declaration by a structured binding declaration.,OPEN,2min,2min,tbakker@example.com,"clumsy,cppcoreguidelines,since-c++17",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoa,cpp:S6009,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,426,"Replace this const reference to ""std::string"" by a ""std::string_view"".",OPEN,2min,2min,tbakker@example.com,since-c++17,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXob,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,457,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoc,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,464,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXod,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,465,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoe,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,489,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXof,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,491,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXog,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,503,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoh,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,505,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoi,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,530,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoj,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,532,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXok,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,533,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXol,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,534,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXom,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,535,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXon,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,540,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoo,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,541,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXop,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,542,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoq,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,543,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXns,cpp:S6177,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,598,"Reduce verbosity with ""using enum"" for ""heimdall::SBOMDifference::Type"".",OPEN,2min,2min,tbakker@example.com,since-c++20,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXor,cpp:S5817,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,620,"This function should be declared ""const"".",CLOSED,5min,5min,tbakker@example.com,"confusing,pitfall",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXnt,cpp:S6177,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,621,"Reduce verbosity with ""using enum"" for ""heimdall::SBOMDifference::Type"".",OPEN,2min,2min,tbakker@example.com,since-c++20,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXos,cpp:S5817,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,635,"This function should be declared ""const"".",CLOSED,5min,5min,tbakker@example.com,"confusing,pitfall",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXnq,cpp:S1874,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,639,"'gmtime' is deprecated: This function or variable may be unsafe. Consider using gmtime_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.",OPEN,15min,15min,tbakker@example.com,"cert,cwe,obsolete",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXot,cpp:S1912,BLOCKER,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,639,"Replace this call to the non reentrant function ""gmtime"" by a call to ""gmtime_r"".",OPEN,30min,30min,tbakker@example.com,multi-threading,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXou,cpp:S6229,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,639,"Replace this use of ""gmtime"" with equivalent code using ""std::chrono"".",OPEN,10min,10min,tbakker@example.com,"confusing,since-c++20",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jGK_yZdEi8IfXo1,cpp:S5018,BLOCKER,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.hpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.hpp,15,"Give class ""SBOMComponent"" a noexcept move constructor.",OPEN,2min,2min,tbakker@example.com,"cppcoreguidelines,error-handling,since-c++11",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
